Date,Close,VIX,returns,volatility,ma10,ma50,momentum,RSI
2015-03-05,2101.04,14.039999961853027,0.0011953606197183842,0.003872710523917282,2108.928,2062.2242,3.5900000000001455,57.91929382093306
2015-03-06,2071.26,15.199999809265137,-0.014275342485307393,0.005445544297766194,2105.0240000000003,2062.0786000000003,-39.039999999999964,37.20791488515491
2015-03-09,2079.43,15.0600004196167,0.003936699946892563,0.005738061810095593,2102.001,2062.0238,-30.230000000000018,40.07970395673198
2015-03-10,2044.16,16.690000534057617,-0.01710687053188645,0.007337887468027647,2094.869,2061.2694,-71.31999999999994,30.171428571428564
2015-03-11,2040.24,16.8700008392334,-0.0019194991693251124,0.007300339589804805,2087.507,2060.2988,-73.62000000000012,29.811560448867226
2015-03-12,2065.95,15.420000076293944,0.012522721054237218,0.008906586317078946,2083.028,2059.8064,-44.789999999999964,35.651892591394144
2015-03-13,2053.4,16.0,-0.00609321316658598,0.008993134866844268,2077.918,2059.2673999999997,-51.09999999999991,33.10104529616714
2015-03-16,2081.19,15.609999656677246,0.013442889619502027,0.01001109576950653,2074.298,2059.7132,-36.19999999999982,40.901130393249396
2015-03-17,2074.28,15.65999984741211,-0.0033257399856237396,0.009980175298083878,2070.948,2060.0348,-33.5,39.784224654139905
2015-03-18,2099.5,13.970000267028809,0.012085115625505266,0.010794997165007383,2071.0449999999996,2061.6132,0.9699999999997999,47.3959781299231
2015-03-19,2089.27,14.06999969482422,-0.004884498475311038,0.010893844187170825,2069.868,2063.3464,-11.769999999999982,46.53564442018102
2015-03-20,2108.1,13.020000457763672,0.008972345217324727,0.010093312029689678,2073.552,2064.9904,36.83999999999969,47.942414174972306
2015-03-23,2104.42,13.40999984741211,-0.0017471731581735757,0.010117312860561365,2076.051,2065.8360000000002,24.990000000000236,49.235738331361986
2015-03-24,2091.5,13.619999885559082,-0.006158382825834895,0.008355807039267278,2080.785,2066.7698,47.33999999999992,48.427222694527664
2015-03-25,2061.05,15.4399995803833,-0.01466595021813647,0.009898927599271589,2082.866,2067.4256000000005,20.810000000000173,42.047488366543355
2015-03-26,2056.15,15.800000190734863,-0.002380259551864185,0.009060190988119984,2081.886,2068.0879999999997,-9.799999999999727,46.66519532112111
2015-03-27,2061.02,15.06999969482422,0.002365703758294171,0.00887031085229395,2082.648,2069.083,7.619999999999891,45.8768197088466
2015-03-30,2086.24,14.510000228881836,0.0121623968046154,0.008667557530857184,2083.153,2070.9544,5.049999999999727,59.8686679174484
2015-03-31,2067.89,15.289999961853027,-0.008834638950921472,0.00908457001035144,2082.514,2071.9237999999996,-6.390000000000327,56.07345253261874
2015-04-01,2059.69,15.109999656677246,-0.003973277701576431,0.008005590411229946,2078.5330000000004,2072.6666,-39.809999999999945,48.51037502379597
2015-04-02,2066.96,14.670000076293944,0.003523442754392329,0.00809995991991158,2076.302,2073.3634,-22.309999999999945,53.30990041007615
2015-04-06,2080.62,14.739999771118164,0.006586997425284128,0.007800847559855261,2073.5539999999996,2073.7128,-27.480000000000018,49.850558439515446
2015-04-07,2076.33,14.779999732971191,-0.0020640140117176337,0.007803453951134724,2070.745,2074.203,-28.090000000000146,50.544951884735966
2015-04-08,2081.9,13.979999542236328,0.0026790260911049436,0.00769731521407294,2069.785,2074.6992,-9.599999999999909,44.775587746378534
2015-04-09,2091.18,13.09000015258789,0.004447561655731752,0.005953361818116489,2072.798,2075.9318,30.129999999999654,50.570183294525
2015-04-10,2102.06,12.579999923706056,0.005189316335635196,0.005892979019325747,2077.389,2077.9298,45.909999999999854,48.10705779114956
2015-04-13,2092.43,13.9399995803833,-0.004591746276668459,0.006270915065092135,2080.5299999999997,2079.3534,31.409999999999854,46.377424617801594
2015-04-14,2095.84,13.670000076293944,0.0016283576529126241,0.005048828685339045,2081.4900000000002,2081.3704000000002,9.600000000000364,51.391204000512936
2015-04-15,2106.63,12.84000015258789,0.005135086608693579,0.004019285645821383,2085.3640000000005,2083.086,38.74000000000024,66.7180164319249
2015-04-16,2104.99,12.600000381469728,-0.0007787977466591179,0.0036106731418699385,2089.894,2084.1852,45.29999999999973,68.35262287689753
2015-04-17,2081.18,13.890000343322754,-0.011375675981876396,0.005547295422730688,2091.316,2084.9786,14.2199999999998,56.631578947368375
2015-04-20,2100.4,13.300000190734863,0.009192762234207431,0.005904975651538444,2093.2940000000003,2085.7362,19.7800000000002,54.84931506849325
2015-04-21,2097.29,13.25,-0.0014817676241149391,0.0058747897237406465,2095.39,2086.5726,20.960000000000036,61.24197002141325
2015-04-22,2107.96,12.710000038146973,0.005074620009561437,0.0059982104843895765,2097.996,2087.797,26.059999999999945,68.11528934924553
2015-04-23,2112.93,12.479999542236328,0.0023549546644853884,0.005909880194506795,2100.171,2088.6838,21.75,67.55518215840507
2015-04-24,2117.69,12.289999961853027,0.0022502621405813723,0.0057512623761354666,2101.734,2089.667,15.63000000000011,65.1888879783659
2015-04-27,2108.92,13.119999885559082,-0.004149903864416299,0.005707271943920759,2103.383,2090.0758,16.490000000000236,62.88040471108997
2015-04-28,2114.76,12.40999984741211,0.002765362774477354,0.005737187726419618,2105.275,2090.4312,18.920000000000073,62.95945732765414
2015-04-29,2106.85,13.390000343322754,-0.0037473898615125326,0.005695876440353534,2105.2969999999996,2090.5614,0.2199999999997999,56.247508173191875
2015-04-30,2085.51,14.550000190734863,-0.010180511364075624,0.0065521879101822595,2103.349,2090.2780000000002,-19.479999999999563,43.90961948921778
2015-05-01,2108.29,12.699999809265137,0.010863762718014008,0.006384789729150272,2106.06,2090.4948,27.110000000000127,55.32143336464905
2015-05-04,2114.49,12.850000381469728,0.002936456294242169,0.005805032614623119,2107.469,2090.5786000000003,14.08999999999969,56.142546604307874
2015-05-05,2089.46,14.3100004196167,-0.011907989281938557,0.007039264630080426,2106.686,2090.1746,-7.829999999999927,44.829870520927415
2015-05-06,2080.15,15.149999618530272,-0.00446565288921807,0.0068630490831446045,2103.9049999999997,2089.4680000000003,-27.809999999999945,42.850564126180146
2015-05-07,2088.0,15.130000114440918,0.0037666635227395196,0.0069610449148940845,2101.4120000000003,2088.9508,-24.929999999999836,52.16151115618667
2015-05-08,2116.1,12.859999656677246,0.01336810183819619,0.00832518629691802,2101.2529999999997,2089.058,-1.5900000000001455,54.71075372059526
2015-05-11,2105.33,13.850000381469728,-0.005102547415113407,0.008382249571007042,2100.8940000000002,2089.0746,-3.5900000000001455,52.306368330464714
2015-05-12,2099.12,13.859999656677246,-0.0029540151581351707,0.008354758763317621,2099.33,2088.7092,-15.640000000000327,47.39755063589255
2015-05-13,2098.48,13.760000228881836,-0.0003049361563555961,0.008287833807335453,2098.493,2088.5232,-8.36999999999989,45.63470485167063
2015-05-14,2121.1,12.739999771118164,0.010721548914049037,0.008181644239128762,2102.0519999999997,2088.9746,35.58999999999969,50.92981403719253
2015-05-15,2122.73,12.380000114440918,0.0007681740692506561,0.007520318148349233,2103.496,2089.4084,14.440000000000055,53.91817511206946
2015-05-18,2129.2,12.729999542236328,0.003043326204180875,0.0075239520316022915,2104.9669999999996,2090.5672,14.710000000000036,54.082325002827005
2015-05-19,2127.83,12.850000381469728,-0.0006436412462661924,0.006144516882337194,2108.804,2091.5352000000003,38.36999999999989,56.158994833255115
2015-05-20,2125.85,12.880000114440918,-0.0009309586724919671,0.005836730724921005,2113.374,2093.169,45.69999999999982,63.361155272919994
2015-05-21,2130.82,12.109999656677246,0.002335159764998983,0.005810803475954064,2117.656,2094.9806,42.820000000000164,58.46038302666179
